Stimulus,N,Raw_Mean,BLUP,condition
Abdreickung,34,7.04218407582589,7.06944060977074,pseudo_only
Abdurch,24,7.03766417020757,7.07178227269141,pseudo_only
Abechfelsteldung,35,7.06156572031519,7.01064627497038,pseudo_only
Abecht,40,6.75396077268868,6.75972654259973,pseudo_only
Abeckdabwegung,22,7.17337928803646,7.15157489473446,pseudo_only
Abehrhahr,36,6.73353746985248,6.75079716747818,pseudo_only
Abehrstät,34,6.74970459254705,6.76915656203363,pseudo_only
Abektbrazierroms,38,6.75774780852307,6.74602812314205,pseudo_only
Abelblein,39,6.78283929462926,6.76935859944298,pseudo_only
Abelfrie,42,6.61020432250873,6.63056614508792,pseudo_only
Abelguß,40,6.76798525520341,6.72015758406542,pseudo_only
Abellglitt,39,6.65311184098429,6.69614436356317,pseudo_only
Abendagnibt,38,6.77646221281595,6.7667092009821,pseudo_only
Abendblief,22,7.11673730960512,7.0221518689205,pseudo_only
Abenddattestauchs,34,6.99632364736425,7.02441920460119,pseudo_only
Abendfrothegs,37,6.81065577009727,6.87296919789679,pseudo_only
Abenfeifpave,35,6.78931300031065,6.76191290908938,pseudo_only
Abengolbum,42,6.68237590610316,6.70828748543302,pseudo_only
Abenkgerirkschadt,39,6.84602823334523,6.88981521007071,pseudo_only
Abentbrimmeit,35,6.73677233118339,6.80633388978152,pseudo_only
Aberbarrer,41,6.70668905430353,6.70980077779947,pseudo_only
Aberbesangslazer,43,6.91088284335939,6.88046108457993,pseudo_only
Abercrerbung,41,6.65472996843565,6.63689633958343,pseudo_only
Aberdendter,38,6.74063080086704,6.77854970813026,pseudo_only
Aberehrera,40,6.61564421790864,6.61644371994269,pseudo_only
Aberklille,36,6.82432326460758,6.82357439650266,pseudo_only
Abernebraubung,33,6.89821366470021,6.91693324066739,pseudo_only
Aberströner,38,6.77358829450351,6.78185780299569,pseudo_only
Aberterocks,37,6.68444377308861,6.69983047181719,pseudo_only
Aberwoller,36,6.84151364900214,6.80299257515348,pseudo_only
Abfabung,34,6.94261788668454,6.91149226186211,pseudo_only
Abfachtsbief,32,6.91411798978024,6.94653747665415,pseudo_only
Abfack,35,6.85523857615154,6.91283169010346,pseudo_only
Abfackt,36,6.88310671507394,6.87183320122688,pseudo_only
Abfaffcheit,37,6.77254511869504,6.70395873543121,pseudo_only
Abfaft,39,6.8127472786346,6.81532300117758,pseudo_only
Abfagsbruchs,36,6.93207524429145,6.87220064875601,pseudo_only
Abfalladber,31,7.018987613854,6.97662144506124,pseudo_only
Abfallgadt,38,6.84431431790877,6.88432979307144,pseudo_only
Abfe,39,6.52844953458683,6.57474812214777,pseudo_only
Abfehdung,41,6.83880462408776,6.82245036632069,pseudo_only
Abfeleege,36,6.66653191897735,6.68533311963035,pseudo_only
Abfelen,30,6.86229542979517,6.78209321180131,pseudo_only
Abfelmung,37,6.6722756586311,6.6988711334624,pseudo_only
Abfengung,30,6.6880504902325,6.78364356451013,pseudo_only
Abfentekhetasus,39,6.74488016776357,6.76755706322157,pseudo_only
Abferdung,36,6.88946043342504,6.84570014749294,pseudo_only
Abferhahrtheit,41,6.808630383347,6.83509990852258,pseudo_only
Abferrung,42,6.82806147419592,6.79693696295102,pseudo_only
