Stimulus,N,Raw_Mean,BLUP,condition
Allesfresser,42,6.69739942821918,6.68388323727624,words_only
Allgemeinarzt,38,6.72583250247635,6.72309409746316,words_only
Allgemeinbildung,43,6.64189156263957,6.64131062698474,words_only
Allgemeingut,37,6.66901164240684,6.70973608175163,words_only
Allgemeingültigkeit,37,6.78794740479995,6.75161629657823,words_only
Allgemeinheit,38,6.55176595488792,6.54490840362346,words_only
Allgemeinmediziner,34,6.77084539906185,6.7813333446687,words_only
Allgemeinpraxis,37,6.71212861083052,6.68292211250738,words_only
Allgemeinwissen,39,6.56378467888532,6.56235793235124,words_only
Allgemeinwohl,41,6.57828773127391,6.60403497335787,words_only
Allheilmittel,38,6.65178754253638,6.67952905161353,words_only
Allianz,36,6.52194405921261,6.53636907702118,words_only
Alligator,39,6.56151732126191,6.57079465080924,words_only
Alliierte,28,6.814911546349,6.77019574241396,words_only
Alliteration,32,6.82203356561478,6.78072683134201,words_only
Allmacht,35,6.5714705522296,6.59890954552355,words_only
Allmächtige,36,6.56228300272747,6.59372798241858,words_only
Allradantrieb,26,7.08110325441387,7.00379218391922,words_only
Alltag,39,6.41895731312684,6.41894468081412,words_only
Alltagskleidung,39,6.67608473860482,6.64977224123606,words_only
Alltagskram,37,6.7016805073749,6.71732863468914,words_only
Alltagsleben,38,6.60221212037093,6.58690680874318,words_only
Alltäglichkeit,38,6.6012996473703,6.63609732372899,words_only
Allwissende,35,6.70009021447091,6.67477919836928,words_only
Allzweckreiniger,43,6.76224102874383,6.76671621449774,words_only
Almanach,7,6.99943816982038,6.91668196447983,words_only
Almosen,33,6.75460459372796,6.7670709938428,words_only
Almosenempfänger,30,7.01079564238687,6.99556144751129,words_only
Alpdruck,11,6.88415187572494,6.77923987482216,words_only
Alpenrose,36,6.81064264587338,6.78930935523801,words_only
Alpenveilchen,36,6.85364693214758,6.85208959088457,words_only
Alpha,44,6.53724349969338,6.55455253015558,words_only
Alphabet,39,6.48233345187254,6.50738466724998,words_only
Alptraum,38,6.51521775326919,6.50336200219877,words_only
Altar,40,6.53735084388602,6.53116215535852,words_only
Altarraum,28,6.92371151813595,6.90038806049378,words_only
Altbau,39,6.51409618264415,6.49741256227205,words_only
Altbestand,31,6.70454608802702,6.68814507103083,words_only
Altbier,33,6.63650090378538,6.61482149528464,words_only
Alte,38,6.3831456393464,6.39888008400866,words_only
Altenheim,40,6.61509658275428,6.57007313271646,words_only
Altenhilfe,37,6.76765522289215,6.7694446890411,words_only
Altenpflege,40,6.59443042229069,6.59807921066662,words_only
Altenpflegerin,41,6.63164032043718,6.63995441980846,words_only
Alter,38,6.35199579222186,6.39061576017924,words_only
Alternative,36,6.42567050729908,6.43787983498088,words_only
Altersangabe,39,6.70736749521276,6.71024564766984,words_only
Altersbestimmung,38,6.69854124219172,6.70408821003163,words_only
Altersdiabetes,33,7.01425437768199,6.98397682428159,words_only
Altersgruppe,37,6.53805181185074,6.52368779732078,words_only
Altersheim,40,6.55058132016129,6.55751776179433,words_only
Altersklasse,40,6.53238419954503,6.53525787652551,words_only
Altersrente,36,6.68438542318463,6.69282465260336,words_only
Altersschwachsinn,39,6.95639563363648,6.92922615023597,words_only
Altersschwäche,40,6.59941931254701,6.59970692975029,words_only
Alterssitz,37,6.69461691431633,6.68789051265891,words_only
Altersunterschied,38,6.61442501387145,6.60629494988829,words_only
Altersversorgung,38,6.5558517521102,6.59848398695694,words_only
Altersvorsorge,40,6.58581103656144,6.57204601995957,words_only
Altertum,35,6.63667961659072,6.6323136629387,words_only
Altertumsforscher,32,7.14215080501964,7.13750099701593,words_only
Alterung,38,6.5629242086462,6.57927967583298,words_only
Altlast,35,6.6952899359725,6.69026877452808,words_only
Altmeister,32,6.70558976205101,6.64783215485264,words_only
Altmetall,32,6.64191375558167,6.65027252122234,words_only
Altpapier,34,6.44539629743948,6.4418470635005,words_only
Altphilologe,17,7.28411748754727,7.16584763322192,words_only
Altsein,30,6.62656418946182,6.65992310748907,words_only
Altstadt,41,6.51907173258796,6.49460884624416,words_only
Altsteinzeit,38,6.99200546252022,6.95784239906794,words_only
Altweibersommer,30,6.8080827502355,6.81052770978842,words_only
Alu,28,6.71960704210264,6.70915864814977,words_only
Alufolie,40,6.61657502052037,6.60962344844216,words_only
Aluminium,37,6.52178103298841,6.53353561192114,words_only
Aluminiumoxid,31,6.74715304840485,6.76794305866356,words_only
Aluminiumpulver,32,6.76763093949172,6.82161799406399,words_only
Alzheimer,40,6.56219891093994,6.56754631028357,words_only
Amalgam,9,6.79980176405224,6.77246746746077,words_only
Amateur,37,6.55202156833704,6.49857782697725,words_only
Amateurboxer,32,6.86451581593269,6.78732569256763,words_only
Amateurfilm,36,6.69818212534131,6.69461341575442,words_only
Amateurfunk,34,7.01136946872482,6.97140123251199,words_only
Amateurfunker,23,7.06928457227318,6.99061836070967,words_only
Amazone,29,6.65176726260933,6.63691854212383,words_only
Ambiente,37,6.63053161905802,6.65440076666311,words_only
Ambiguität,27,6.70718069805588,6.73945601736369,words_only
Ambition,38,6.58597800424116,6.62174579359025,words_only
Ambivalenz,35,6.61933673200942,6.62162067552839,words_only
Ambulanz,39,6.50951605196793,6.52996801433102,words_only
Ameise,36,6.50679950055219,6.47455907510943,words_only
Ameisenbär,40,6.5951048866805,6.60424587272817,words_only
Ameisenhaufen,36,6.67825241865289,6.66565027239027,words_only
Ameisensäure,38,6.68817916200404,6.68178831336914,words_only
Amen,38,6.53606586115312,6.52679826151141,words_only
Amerikaner,39,6.50271102051683,6.52192380676926,words_only
Amerikanerin,39,6.54755753677804,6.58528851520323,words_only
Amerikareise,33,6.9747569085621,6.94350597271822,words_only
Ami,17,6.85246995652756,6.83247587742066,words_only
Aminosäure,41,6.68121563657874,6.6982162408127,words_only
Amme,36,6.72039053777328,6.74142360650829,words_only
Ammenmärchen,29,6.82853403473129,6.8367104127103,words_only
Ammoniak,36,6.66237782604747,6.67665289420524,words_only
Ammonit,13,6.86748144549193,6.88596021514943,words_only
Ammoniumnitrat,25,7.27492819420938,7.24969378270383,words_only
Amnesie,39,6.53021025092033,6.54140768306008,words_only
Amnestie,29,6.74597597814235,6.74709054348586,words_only
Amok,36,6.66882784869006,6.62364849900501,words_only
Amoklauf,37,6.58151861383061,6.55960621014996,words_only
Amokläufer,35,6.6511225150856,6.60774486218126,words_only
Ampel,35,6.45007993333719,6.47037013428775,words_only
Ampelmännchen,37,6.66882542541398,6.68101802016239,words_only
Ampere,25,6.84001572708246,6.80060998942524,words_only
Amphetamin,31,6.81906387894761,6.81151619312576,words_only
Amphibie,33,6.79254485974896,6.81496079271862,words_only
Amphitheater,32,6.69660028959511,6.70113575159503,words_only
Amplitude,34,6.6381219650142,6.6566023633692,words_only
Ampulle,41,6.62405533197614,6.60939988043644,words_only
Amputation,37,6.59390472915949,6.59479383256583,words_only
Amputierte,33,6.73552754994271,6.70260751871352,words_only
Amsel,39,6.49593441588343,6.50849921036086,words_only
Amtmann,23,6.98940543505969,6.93374801011264,words_only
Amtsanmaßung,31,6.93993854477171,6.92968082782712,words_only
Amtsantritt,39,6.63195944258386,6.6430070629806,words_only
Amtsarzt,33,6.53412667869396,6.5850402306019,words_only
Amtschef,24,6.80826604258905,6.7778036981089,words_only
Amtsdiener,36,6.69624725134221,6.66340398837928,words_only
Amtseid,27,6.73494614244813,6.77247563205453,words_only
Amtseinführung,39,6.68548376132679,6.68229059946374,words_only
Amtsenthebung,30,6.86474219921125,6.84891834905904,words_only
Amtsführung,39,6.52931929394586,6.56413876263333,words_only
Amtsgebäude,38,6.60812211580803,6.59718392127358,words_only
Amtsgericht,41,6.50707640746217,6.51666829470775,words_only
Amtsgewalt,39,6.54157108629406,6.55811540576517,words_only
Amtshandlung,36,6.64571458954267,6.64112364530626,words_only
Amtshilfe,36,6.67748524210376,6.66127235890339,words_only
Amtsinhaber,33,6.75498848143314,6.76669074285898,words_only
Amtskette,38,6.66724136813684,6.70271962455035,words_only
Amtsleiter,40,6.63320481615913,6.63461391969089,words_only
